SpringGreen, 春天的绿色,#3CB371,60,179,113
SeaGreen, 海洋绿,#2E8B57,46,139,87
 Honeydew,蜂蜜色,#F0FFF0,240,255,240
 LightGreen, 淡绿色, #90EE90,144,238,144
 PaleGreen,苍白的绿色, #98FB98,152,251,152
DarkSeaGreen, 深海洋绿, #8FBC8F,143,188,143
LimeGreen, 酸橙绿, #32CD32,50,205,50
Lime, 酸橙色, #00FF00,0,255,0
 ForestGreen, 森林绿, #228B22,34,139,34
Green,绿色, #008000,0,128,0
DarkGreen, 深绿色, #006400,0,100,0
Chartreuse, 查特酒绿, #7FFF00,127,255,0
LawnGreen , 草坪绿, #7CFC00,124,252,0
GreenYellow,绿黄色, #ADFF2F,173,255,47
OliveDrab,橄榄土褐色,#556B2F,85,107,47
 Beige,浅褐色,#F5F5DC,245,245,220
LightGoldenrodYellow, 浅秋麒麟黄,#FAFAD2,250,250,210
Ivory,象牙色,#FFFFF0,255,255,240
 LightYellow, 浅黄色, #FFFFE0,255,255,224
Yellow,黄色, #FFFF00,255,255,0
Olive, 橄榄色, #808000,128,128,0
DarkKhaki,深卡其布色,#BDB76B,189,183,107
LemonChiffon,柠檬薄纱色, #FFFACD,255,250,205
 PaleGodenrod, 灰秋麒麟色,#EEE8AA,238,232,170
Khaki,卡其布色,#F0E68C,240,230,140
Gold,金色,#FFD700,255,215,0
 Cornislk,玉米色,#FFF8DC,255,248,220
 GoldEnrod, 秋麒麟色, #DAA520,218,165,32
FloralWhite, 花的白色, #FFFAF0,255,250,240
 Wheat, 小麦色, #F5DEB3,245,222,179
Orange, 橙色, #FFA500,255,165,0
 PapayaWhip,番木瓜色,#FFEFD5,255,239,213
BlanchedAlmond,漂白的杏仁色,#FFEBCD,255,235,205
AntiqueWhite,古代的白色, #FAEBD7,250,235,215
DarkOrange,深橙色, #FF8C00,255,140,0
 Linen, 亚麻布色, #FAF0E6,250,240,230
 PeachPuff, 桃色, #FFDAB9,255,218,185
SandyBrown, 沙棕色, #F4A460,244,164,96
Chocolate, 巧克力,#D2691E,210,105,30
 SaddleBrown,马鞍棕色,#8B4513,139,69,19
 SeaShell, 海贝壳色, #FFF5EE,255,245,238
Coral, 珊瑚色,#FF7F50,255,127,80
OrangeRed,橙红色, #FF4500,255,69,0
 Tomato,番茄色, #FF6347,255,99,71
 Snow, 雪白色, #FFFAFA,255,250,250
LightCoral, 淡珊瑚色, #F08080,240,128,128
RosyBrown, 玫瑰棕色, #BC8F8F,188,143,143
 IndianRed,印度红, #CD5C5C,205,92,92
 Red,红色,#FF0000,255,0,0
Brown,棕色, #A52A2A,165,42,42
 DarkRed, 深红色, #8B0000,139,0,0
 Maroon,栗色, #800000,128,0,0
White,白色, #FFFFFF,255,255,255
WhiteSmoke,白色,#F5F5F5,245,245,245
Gainsboro,亮灰色, #DCDCDC,220,220,220
 LightGrey,浅灰色,#D3D3D3,211,211,211
Silver, 银白色, #C0C0C0,192,192,192
 DarkGray, 深灰色,#A9A9A9,169,169,169
 Gray,灰色,#808080,128,128,128
DimGray, 暗淡的灰色,#696969,105,105,105
Black,黑色,#000000,0,0,0
black,黑色,#3C3C3C,60,60,60
